analysis_id,sample_matrix_id,sample_matrix_other,gene_name,gene_description,gene_family,associated_phenotype,monogenic_phenotype,forward_primer,reverse_primer,dye_probe_based,probe_sequence,plasmid_genome_standards,multi_drug_resistance_phenotype,genetic_marker,genetic_marker_specify,common_bacterial_host,concentration_data_id,concentration_id,concentration_abundance_per_ml,concentration_abundance_per_ng,concentration_abundance,prevalence,sampling_date_day,sampling_date_month,sampling_date_year,sampling_date_hour,sampling_date_minute,method_id,source_id,coordinate_id,remark
368,27,Mesocosms soil Freshwater Irrigated,blaTEM,β-lactamase/penicillase,β-lactamases,resistance to β-lactams (penicillins),Yes,,,,,,Yes,No,"","",1,1,1,,,0.00000000999999993922529,1,7,2019,14,0,340,337,337,Samples <LOQ are placed as 0 in absolute abundance and 10^-8 in relative abundance. You may need to change that  to <LOQ but the datasheet did not allowed that.
369,27,Mesocosms soil Freshwater Irrigated,blaTEM,β-lactamase/penicillase,β-lactamases,resistance to β-lactams (penicillins),Yes,,,,,,Yes,No,"","",1,1,1,,,0.00000000999999993922529,8,7,2019,14,0,340,337,337,Samples <LOQ are placed as 0 in absolute abundance and 10^-8 in relative abundance. You may need to change that  to <LOQ but the datasheet did not allowed that.
370,27,Mesocosms soil Freshwater Irrigated,blaTEM,β-lactamase/penicillase,β-lactamases,resistance to β-lactams (penicillins),Yes,,,,,,Yes,No,"","",1,1,1,,,0.00000000999999993922529,8,7,2019,14,0,340,337,337,Samples <LOQ are placed as 0 in absolute abundance and 10^-8 in relative abundance. You may need to change that  to <LOQ but the datasheet did not allowed that.
371,27,Mesocosms soil Freshwater Irrigated,blaTEM,β-lactamase/penicillase,β-lactamases,resistance to β-lactams (penicillins),Yes,,,,,,Yes,No,"","",1,1,1,,,0.00000000999999993922529,8,7,2019,14,0,340,337,337,Samples <LOQ are placed as 0 in absolute abundance and 10^-8 in relative abundance. You may need to change that  to <LOQ but the datasheet did not allowed that.
372,27,Mesocosms soil Freshwater Irrigated,blaTEM,β-lactamase/penicillase,β-lactamases,resistance to β-lactams (penicillins),Yes,,,,,,Yes,No,"","",1,1,999970.375,,,0.0000005217776788413175,8,7,2019,14,0,340,337,337,Samples <LOQ are placed as 0 in absolute abundance and 10^-8 in relative abundance. You may need to change that  to <LOQ but the datasheet did not allowed that.
373,27,Mesocosms soil Freshwater Irrigated,blaTEM,β-lactamase/penicillase,β-lactamases,resistance to β-lactams (penicillins),Yes,,,,,,Yes,No,"","",1,1,3646763.5,,,0.000001709694060991751,24,7,2019,14,0,340,337,337,Samples <LOQ are placed as 0 in absolute abundance and 10^-8 in relative abundance. You may need to change that  to <LOQ but the datasheet did not allowed that.
374,27,Mesocosms soil Freshwater Irrigated,blaTEM,β-lactamase/penicillase,β-lactamases,resistance to β-lactams (penicillins),Yes,,,,,,Yes,No,"","",1,1,2328646.5,,,0.0000009664406661613612,24,7,2019,14,0,340,337,337,Samples <LOQ are placed as 0 in absolute abundance and 10^-8 in relative abundance. You may need to change that  to <LOQ but the datasheet did not allowed that.
375,27,Mesocosms soil Freshwater Irrigated,blaTEM,β-lactamase/penicillase,β-lactamases,resistance to β-lactams (penicillins),Yes,,,,,,Yes,No,"","",1,1,30863524,,,0.000016436200894531794,24,7,2019,14,0,340,337,337,Samples <LOQ are placed as 0 in absolute abundance and 10^-8 in relative abundance. You may need to change that  to <LOQ but the datasheet did not allowed that.
376,27,Mesocosms soil Freshwater Irrigated,blaTEM,β-lactamase/penicillase,β-lactamases,resistance to β-lactams (penicillins),Yes,,,,,,Yes,No,"","",1,1,717837.625,,,0.0000003221468034553254,24,7,2019,14,0,340,337,337,Samples <LOQ are placed as 0 in absolute abundance and 10^-8 in relative abundance. You may need to change that  to <LOQ but the datasheet did not allowed that.
377,27,Mesocosms soil TWW Irrigated for 1 week,blaTEM,β-lactamase/penicillase,β-lactamases,resistance to β-lactams (penicillins),Yes,,,,,,Yes,No,"","",1,1,1,,,0.00000000999999993922529,8,7,2019,14,0,340,337,337,Samples <LOQ are placed as 0 in absolute abundance and 10^-8 in relative abundance. You may need to change that  to <LOQ but the datasheet did not allowed that.
378,27,Mesocosms soil TWW Irrigated for 1 week,blaTEM,β-lactamase/penicillase,β-lactamases,resistance to β-lactams (penicillins),Yes,,,,,,Yes,No,"","",1,1,393428.8125,,,0.0000003640597299181536,8,7,2019,14,0,340,337,337,Samples <LOQ are placed as 0 in absolute abundance and 10^-8 in relative abundance. You may need to change that  to <LOQ but the datasheet did not allowed that.
379,27,Mesocosms soil TWW Irrigated for 1 week,blaTEM,β-lactamase/penicillase,β-lactamases,resistance to β-lactams (penicillins),Yes,,,,,,Yes,No,"","",1,1,1,,,0.00000000999999993922529,8,7,2019,14,0,340,337,337,Samples <LOQ are placed as 0 in absolute abundance and 10^-8 in relative abundance. You may need to change that  to <LOQ but the datasheet did not allowed that.
380,27,Mesocosms soil TWW Irrigated for 1 week,blaTEM,β-lactamase/penicillase,β-lactamases,resistance to β-lactams (penicillins),Yes,,,,,,Yes,No,"","",1,1,1,,,0.00000000999999993922529,8,7,2019,14,0,340,337,337,Samples <LOQ are placed as 0 in absolute abundance and 10^-8 in relative abundance. You may need to change that  to <LOQ but the datasheet did not allowed that.
381,27,Mesocosms soil TWW Irrigated for 3 week,blaTEM,β-lactamase/penicillase,β-lactamases,resistance to β-lactams (penicillins),Yes,,,,,,Yes,No,"","",1,1,8890403,,,0.000004687906312028645,24,7,2019,14,0,340,337,337,Samples <LOQ are placed as 0 in absolute abundance and 10^-8 in relative abundance. You may need to change that  to <LOQ but the datasheet did not allowed that.
382,27,Mesocosms soil TWW Irrigated for 3 week,blaTEM,β-lactamase/penicillase,β-lactamases,resistance to β-lactams (penicillins),Yes,,,,,,Yes,No,"","",1,1,5603767,,,0.0000028322065190877765,24,7,2019,14,0,340,337,337,Samples <LOQ are placed as 0 in absolute abundance and 10^-8 in relative abundance. You may need to change that  to <LOQ but the datasheet did not allowed that.
383,27,Mesocosms soil TWW Irrigated for 3 week,blaTEM,β-lactamase/penicillase,β-lactamases,resistance to β-lactams (penicillins),Yes,,,,,,Yes,No,"","",1,1,7229236.5,,,0.0000038523371586052235,24,7,2019,14,0,340,337,337,Samples <LOQ are placed as 0 in absolute abundance and 10^-8 in relative abundance. You may need to change that  to <LOQ but the datasheet did not allowed that.
384,27,Mesocosms soil TWW Irrigated for 3 week,blaTEM,β-lactamase/penicillase,β-lactamases,resistance to β-lactams (penicillins),Yes,,,,,,Yes,No,"","",1,1,1,,,0.00000000999999993922529,24,7,2019,14,0,340,337,337,Samples <LOQ are placed as 0 in absolute abundance and 10^-8 in relative abundance. You may need to change that  to <LOQ but the datasheet did not allowed that.
385,25,"",sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,2,0,,,0.00000000999999993922529,15,5,2019,13,10,339,337,337,Samples <LOQ are placed as 0 in absolute abundance and 10^-8 in relative abundance. You may need to change that  to <LOQ but the datasheet did not allowed that.
386,25,"",sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,2,0,,,0.00000000999999993922529,15,5,2019,13,10,339,337,337,Samples <LOQ are placed as 0 in absolute abundance and 10^-8 in relative abundance. You may need to change that  to <LOQ but the datasheet did not allowed that.
387,25,"",sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,2,0,,,0.00000000999999993922529,15,5,2019,13,10,339,337,337,Samples <LOQ are placed as 0 in absolute abundance and 10^-8 in relative abundance. You may need to change that  to <LOQ but the datasheet did not allowed that.
388,25,"",sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,2,0,,,0.00000000999999993922529,15,5,2019,13,10,339,337,337,Samples <LOQ are placed as 0 in absolute abundance and 10^-8 in relative abundance. You may need to change that  to <LOQ but the datasheet did not allowed that.
389,25,"",sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,2,0,,,0.00000000999999993922529,15,5,2019,13,10,339,337,337,Samples <LOQ are placed as 0 in absolute abundance and 10^-8 in relative abundance. You may need to change that  to <LOQ but the datasheet did not allowed that.
390,25,"",sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,2,0,,,0.00000000999999993922529,15,5,2019,13,10,339,337,337,Samples <LOQ are placed as 0 in absolute abundance and 10^-8 in relative abundance. You may need to change that  to <LOQ but the datasheet did not allowed that.
391,25,"",sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,2,0,,,0.00000000999999993922529,15,5,2019,13,10,339,337,337,Samples <LOQ are placed as 0 in absolute abundance and 10^-8 in relative abundance. You may need to change that  to <LOQ but the datasheet did not allowed that.
392,25,"",sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,1,1,,,0.00000000999999993922529,15,5,2019,13,10,339,337,337,Samples <LOQ are placed as 0 in absolute abundance and 10^-8 in relative abundance. You may need to change that  to <LOQ but the datasheet did not allowed that.
393,25,"",sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,2,0,,,0.00000000999999993922529,15,5,2019,13,10,339,337,337,Samples <LOQ are placed as 0 in absolute abundance and 10^-8 in relative abundance. You may need to change that  to <LOQ but the datasheet did not allowed that.
394,25,"",sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,2,0,,,0.00000000999999993922529,15,5,2019,13,10,339,337,337,Samples <LOQ are placed as 0 in absolute abundance and 10^-8 in relative abundance. You may need to change that  to <LOQ but the datasheet did not allowed that.
395,25,"",sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,2,0,,,0.00000000999999993922529,15,5,2019,13,10,339,337,337,Samples <LOQ are placed as 0 in absolute abundance and 10^-8 in relative abundance. You may need to change that  to <LOQ but the datasheet did not allowed that.
396,25,"",sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,2,0,,,0.00000000999999993922529,15,5,2019,13,10,339,337,337,Samples <LOQ are placed as 0 in absolute abundance and 10^-8 in relative abundance. You may need to change that  to <LOQ but the datasheet did not allowed that.
397,24,"",sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,1,2120485632,,,0.00012974359560757875,15,5,2019,13,10,339,337,337,Samples <LOQ are placed as 0 in absolute abundance and 10^-8 in relative abundance. You may need to change that  to <LOQ but the datasheet did not allowed that.
398,24,"",sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,1,238993072,,,0.00010540785297052935,15,5,2019,13,10,339,337,337,Samples <LOQ are placed as 0 in absolute abundance and 10^-8 in relative abundance. You may need to change that  to <LOQ but the datasheet did not allowed that.
399,24,"",sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,1,257654544,,,0.00007342049502767622,15,5,2019,13,10,339,337,337,Samples <LOQ are placed as 0 in absolute abundance and 10^-8 in relative abundance. You may need to change that  to <LOQ but the datasheet did not allowed that.
400,24,"",sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,1,453498208,,,0.00025492205168120563,15,5,2019,13,10,339,337,337,Samples <LOQ are placed as 0 in absolute abundance and 10^-8 in relative abundance. You may need to change that  to <LOQ but the datasheet did not allowed that.
401,24,"",sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,2,0,,,0.00000000999999993922529,15,5,2019,13,10,339,337,337,Samples <LOQ are placed as 0 in absolute abundance and 10^-8 in relative abundance. You may need to change that  to <LOQ but the datasheet did not allowed that.
402,24,"",sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,1,783660544,,,0.0003513922565616667,15,5,2019,13,10,339,337,337,Samples <LOQ are placed as 0 in absolute abundance and 10^-8 in relative abundance. You may need to change that  to <LOQ but the datasheet did not allowed that.
403,24,"",sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,1,2236474880,,,0.0001510083966422826,15,5,2019,13,10,339,337,337,Samples <LOQ are placed as 0 in absolute abundance and 10^-8 in relative abundance. You may need to change that  to <LOQ but the datasheet did not allowed that.
404,24,"",sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,1,244539072,,,0.00011512792843859643,15,5,2019,13,10,339,337,337,Samples <LOQ are placed as 0 in absolute abundance and 10^-8 in relative abundance. You may need to change that  to <LOQ but the datasheet did not allowed that.
405,24,"",sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,1,320307232,,,0.00009600500197848305,15,5,2019,13,10,339,337,337,Samples <LOQ are placed as 0 in absolute abundance and 10^-8 in relative abundance. You may need to change that  to <LOQ but the datasheet did not allowed that.
406,24,"",sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,1,375336768,,,0.00018428059411235154,15,5,2019,13,10,339,337,337,Samples <LOQ are placed as 0 in absolute abundance and 10^-8 in relative abundance. You may need to change that  to <LOQ but the datasheet did not allowed that.
407,24,"",sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,1,146705792,,,0.0000633068848401308,15,5,2019,13,10,339,337,337,Samples <LOQ are placed as 0 in absolute abundance and 10^-8 in relative abundance. You may need to change that  to <LOQ but the datasheet did not allowed that.
408,24,"",sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,1,622556672,,,0.00024309272703249007,15,5,2019,13,10,339,337,337,Samples <LOQ are placed as 0 in absolute abundance and 10^-8 in relative abundance. You may need to change that  to <LOQ but the datasheet did not allowed that.
409,27,Mesocosms soil Freshwater Irrigated,sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,1,301053632,,,0.00011983220611000434,1,7,2019,14,0,340,337,337,Samples <LOQ are placed as 0 in absolute abundance and 10^-8 in relative abundance. You may need to change that  to <LOQ but the datasheet did not allowed that.
410,27,Mesocosms soil Freshwater Irrigated,sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,1,836860544,,,0.0002874495985452086,1,7,2019,14,0,340,337,337,Samples <LOQ are placed as 0 in absolute abundance and 10^-8 in relative abundance. You may need to change that  to <LOQ but the datasheet did not allowed that.
411,27,Mesocosms soil Freshwater Irrigated,sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,1,211993872,,,0.00008332212019013241,1,7,2019,14,0,340,337,337,Samples <LOQ are placed as 0 in absolute abundance and 10^-8 in relative abundance. You may need to change that  to <LOQ but the datasheet did not allowed that.
412,27,Mesocosms soil Freshwater Irrigated,sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,1,794436608,,,0.0002695971925277263,1,7,2019,14,0,340,337,337,Samples <LOQ are placed as 0 in absolute abundance and 10^-8 in relative abundance. You may need to change that  to <LOQ but the datasheet did not allowed that.
413,27,Mesocosms soil Freshwater Irrigated,sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,1,387854848,,,0.00018315424676984549,1,7,2019,14,0,340,337,337,Samples <LOQ are placed as 0 in absolute abundance and 10^-8 in relative abundance. You may need to change that  to <LOQ but the datasheet did not allowed that.
414,27,Mesocosms soil Freshwater Irrigated,sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,1,286986176,,,0.00010328851203667,1,7,2019,14,0,340,337,337,Samples <LOQ are placed as 0 in absolute abundance and 10^-8 in relative abundance. You may need to change that  to <LOQ but the datasheet did not allowed that.
415,27,Mesocosms soil Freshwater Irrigated,sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,1,323789536,,,0.00015174482541624457,1,7,2019,14,0,340,337,337,Samples <LOQ are placed as 0 in absolute abundance and 10^-8 in relative abundance. You may need to change that  to <LOQ but the datasheet did not allowed that.
416,27,Mesocosms soil Freshwater Irrigated,sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,1,237725024,,,0.00008892608457244933,1,7,2019,14,0,340,337,337,Samples <LOQ are placed as 0 in absolute abundance and 10^-8 in relative abundance. You may need to change that  to <LOQ but the datasheet did not allowed that.
417,27,Mesocosms soil Freshwater Irrigated,sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,1,369675040,,,0.00013956359180156142,8,7,2019,14,0,340,337,337,Samples <LOQ are placed as 0 in absolute abundance and 10^-8 in relative abundance. You may need to change that  to <LOQ but the datasheet did not allowed that.
418,27,Mesocosms soil Freshwater Irrigated,sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,1,456453088,,,0.0001965098053915426,8,7,2019,14,0,340,337,337,Samples <LOQ are placed as 0 in absolute abundance and 10^-8 in relative abundance. You may need to change that  to <LOQ but the datasheet did not allowed that.
419,27,Mesocosms soil Freshwater Irrigated,sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,1,257990256,,,0.00009738241351442412,8,7,2019,14,0,340,337,337,Samples <LOQ are placed as 0 in absolute abundance and 10^-8 in relative abundance. You may need to change that  to <LOQ but the datasheet did not allowed that.
420,27,Mesocosms soil Freshwater Irrigated,sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,1,495209824,,,0.0002117446274496615,8,7,2019,14,0,340,337,337,Samples <LOQ are placed as 0 in absolute abundance and 10^-8 in relative abundance. You may need to change that  to <LOQ but the datasheet did not allowed that.
421,27,Mesocosms soil Freshwater Irrigated,sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,1,121233096,,,0.00006211395520949736,24,7,2019,14,0,340,337,337,Samples <LOQ are placed as 0 in absolute abundance and 10^-8 in relative abundance. You may need to change that  to <LOQ but the datasheet did not allowed that.
422,27,Mesocosms soil Freshwater Irrigated,sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,1,178699104,,,0.00007148134318413213,24,7,2019,14,0,340,337,337,Samples <LOQ are placed as 0 in absolute abundance and 10^-8 in relative abundance. You may need to change that  to <LOQ but the datasheet did not allowed that.
423,27,Mesocosms soil Freshwater Irrigated,sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,1,103378264,,,0.00005271798727335408,24,7,2019,14,0,340,337,337,Samples <LOQ are placed as 0 in absolute abundance and 10^-8 in relative abundance. You may need to change that  to <LOQ but the datasheet did not allowed that.
424,27,Mesocosms soil Freshwater Irrigated,sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,1,148664240,,,0.000059467933169798926,24,7,2019,14,0,340,337,337,Samples <LOQ are placed as 0 in absolute abundance and 10^-8 in relative abundance. You may need to change that  to <LOQ but the datasheet did not allowed that.
425,27,Mesocosms soil TWW Irrigated for 1 week,sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,1,742714304,,,0.00025365728652104735,8,7,2019,14,0,340,337,337,Samples <LOQ are placed as 0 in absolute abundance and 10^-8 in relative abundance. You may need to change that  to <LOQ but the datasheet did not allowed that.
426,27,Mesocosms soil TWW Irrigated for 1 week,sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,1,603436736,,,0.0004895292804576457,8,7,2019,14,0,340,337,337,Samples <LOQ are placed as 0 in absolute abundance and 10^-8 in relative abundance. You may need to change that  to <LOQ but the datasheet did not allowed that.
427,27,Mesocosms soil TWW Irrigated for 1 week,sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,1,800181696,,,0.00027365717687644064,8,7,2019,14,0,340,337,337,Samples <LOQ are placed as 0 in absolute abundance and 10^-8 in relative abundance. You may need to change that  to <LOQ but the datasheet did not allowed that.
428,27,Mesocosms soil TWW Irrigated for 1 week,sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,1,476451776,,,0.00036919384729117155,8,7,2019,14,0,340,337,337,Samples <LOQ are placed as 0 in absolute abundance and 10^-8 in relative abundance. You may need to change that  to <LOQ but the datasheet did not allowed that.
429,27,Mesocosms soil TWW Irrigated for 3 week,sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,1,1651818624,,,0.0009514738922007382,24,7,2019,14,0,340,337,337,Samples <LOQ are placed as 0 in absolute abundance and 10^-8 in relative abundance. You may need to change that  to <LOQ but the datasheet did not allowed that.
430,27,Mesocosms soil TWW Irrigated for 3 week,sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,1,1554772992,,,0.0007861386402510107,24,7,2019,14,0,340,337,337,Samples <LOQ are placed as 0 in absolute abundance and 10^-8 in relative abundance. You may need to change that  to <LOQ but the datasheet did not allowed that.
431,27,Mesocosms soil TWW Irrigated for 3 week,sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,1,1636509312,,,0.0009410038474015892,24,7,2019,14,0,340,337,337,Samples <LOQ are placed as 0 in absolute abundance and 10^-8 in relative abundance. You may need to change that  to <LOQ but the datasheet did not allowed that.
432,27,Mesocosms soil TWW Irrigated for 3 week,sul1,di-hydropteroate synthase resistant to sulfonamides,di-hydropteroate synthases,resistance to sulfonamides,Yes,,,,,,Yes,No,"","",1,1,1735294080,,,0.0008741247584111989,24,7,2019,14,0,340,337,337,Samples <LOQ are placed as 0 in absolute abundance and 10^-8 in relative abundance. You may need to change that  to <LOQ but the datasheet did not allowed that.
433,25,"",blaOXA-58,β-lactamase/oxacillinase,β-lactamases,resistance to β-lactams (oxacillins),Yes,,,,,,Yes,No,"","",1,2,0,,,0.00000000999999993922529,15,5,2019,13,10,339,337,337,Samples <LOQ are placed as 0 in absolute abundance and 10^-8 in relative abundance. You may need to change that  to <LOQ but the datasheet did not allowed that.
434,25,"",blaOXA-58,β-lactamase/oxacillinase,β-lactamases,resistance to β-lactams (oxacillins),Yes,,,,,,Yes,No,"","",1,2,0,,,0.00000000999999993922529,15,5,2019,13,10,339,337,337,Samples <LOQ are placed as 0 in absolute abundance and 10^-8 in relative abundance. You may need to change that  to <LOQ but the datasheet did not allowed that.
435,25,"",blaOXA-58,β-lactamase/oxacillinase,β-lactamases,resistance to β-lactams (oxacillins),Yes,,,,,,Yes,No,"","",1,2,0,,,0.00000000999999993922529,15,5,2019,13,10,339,337,337,Samples <LOQ are placed as 0 in absolute abundance and 10^-8 in relative abundance. You may need to change that  to <LOQ but the datasheet did not allowed that.
436,25,"",blaOXA-58,β-lactamase/oxacillinase,β-lactamases,resistance to β-lactams (oxacillins),Yes,,,,,,Yes,No,"","",1,2,0,,,0.00000000999999993922529,15,5,2019,13,10,339,337,337,Samples <LOQ are placed as 0 in absolute abundance and 10^-8 in relative abundance. You may need to change that  to <LOQ but the datasheet did not allowed that.
437,25,"",blaOXA-58,β-lactamase/oxacillinase,β-lactamases,resistance to β-lactams (oxacillins),Yes,,,,,,Yes,No,"","",1,2,0,,,0.00000000999999993922529,15,5,2019,13,10,339,337,337,Samples <LOQ are placed as 0 in absolute abundance and 10^-8 in relative abundance. You may need to change that  to <LOQ but the datasheet did not allowed that.
438,25,"",blaOXA-58,β-lactamase/oxacillinase,β-lactamases,resistance to β-lactams (oxacillins),Yes,,,,,,Yes,No,"","",1,2,0,,,0.00000000999999993922529,15,5,2019,13,10,339,337,337,Samples <LOQ are placed as 0 in absolute abundance and 10^-8 in relative abundance. You may need to change that  to <LOQ but the datasheet did not allowed that.
439,25,"",blaOXA-58,β-lactamase/oxacillinase,β-lactamases,resistance to β-lactams (oxacillins),Yes,,,,,,Yes,No,"","",1,2,0,,,0.00000000999999993922529,15,5,2019,13,10,339,337,337,Samples <LOQ are placed as 0 in absolute abundance and 10^-8 in relative abundance. You may need to change that  to <LOQ but the datasheet did not allowed that.
440,25,"",blaOXA-58,β-lactamase/oxacillinase,β-lactamases,resistance to β-lactams (oxacillins),Yes,,,,,,Yes,No,"","",1,2,0,,,0.00000000999999993922529,15,5,2019,13,10,339,337,337,Samples <LOQ are placed as 0 in absolute abundance and 10^-8 in relative abundance. You may need to change that  to <LOQ but the datasheet did not allowed that.
441,25,"",blaOXA-58,β-lactamase/oxacillinase,β-lactamases,resistance to β-lactams (oxacillins),Yes,,,,,,Yes,No,"","",1,2,0,,,0.00000000999999993922529,15,5,2019,13,10,339,337,337,Samples <LOQ are placed as 0 in absolute abundance and 10^-8 in relative abundance. You may need to change that  to <LOQ but the datasheet did not allowed that.
442,25,"",blaOXA-58,β-lactamase/oxacillinase,β-lactamases,resistance to β-lactams (oxacillins),Yes,,,,,,Yes,No,"","",1,2,0,,,0.00000000999999993922529,15,5,2019,13,10,339,337,337,Samples <LOQ are placed as 0 in absolute abundance and 10^-8 in relative abundance. You may need to change that  to <LOQ but the datasheet did not allowed that.
443,25,"",blaOXA-58,β-lactamase/oxacillinase,β-lactamases,resistance to β-lactams (oxacillins),Yes,,,,,,Yes,No,"","",1,2,0,,,0.00000000999999993922529,15,5,2019,13,10,339,337,337,Samples <LOQ are placed as 0 in absolute abundance and 10^-8 in relative abundance. You may need to change that  to <LOQ but the datasheet did not allowed that.
